geojson_index,district,lat,lon
22,Ochota,20.9737912460043,52.210726036809575
25,Rembertow,21.150061694654333,52.26201902719103
2,Bemowo,20.90391677660362,52.245926652671386
19,Bialoleka,21.003958970576104,52.33191640976736
31,Wesola,21.22525566647052,52.23247579984621
20,Bielany,20.92630661976066,52.29325943925977
21,Mokotow,21.041852552400925,52.19276146672525
23,Southern Praga,21.08460942740216,52.23943524004556
24,Praga,21.02740178192986,52.264818395427774
26,Downtown,21.019074646922565,52.23280870848175
27,Targowek,21.06348923796426,52.28263256970777
28,Ursus,20.88209077990353,52.19499775296873
34,Wola,20.95700109235027,52.23450310071844
29,Ursynow,21.032325750928404,52.1332844908352
30,Wawer,21.1780199591702,52.192971725434944
32,Wilanow,21.105060354915437,52.151924179146405
33,Wlochy,20.947736892669493,52.18064285168481
35,Zoliborz,20.981977449330948,52.26874726946256
